[93mWARNING: Reward weightings do not sum up to 1, renormalizing.[0m
Episode length = 209, Average reward is 0.5092805929217166.
Episode length = 196, Average reward is 0.5094649126541902.
Episode length = 215, Average reward is 0.5093296328533945.
Episode length = 221, Average reward is 0.5093922440847256.
Episode length = 231, Average reward is 0.5093856717336813.
Episode length = 204, Average reward is 0.5094218276309166.
Episode length = 259, Average reward is 0.5091727158087106.
Episode length = 225, Average reward is 0.5089096084873335.
Episode length = 250, Average reward is 0.5088154183945246.
Episode length = 200, Average reward is 0.5088687988809811.
Episode length = 193, Average reward is 0.5090003554490787.
Episode length = 207, Average reward is 0.5089824529641636.
Episode length = 219, Average reward is 0.5090550095177426.
Episode length = 149, Average reward is 0.5090011103202168.
Episode length = 235, Average reward is 0.508821137452961.
Episode length = 203, Average reward is 0.5086328823161161.
Episode length = 278, Average reward is 0.5084243831654629.
Episode length = 242, Average reward is 0.5085704627352611.
Episode length = 200, Average reward is 0.5085853366346802.
Episode length = 218, Average reward is 0.5085819543214234.
Episode length = 175, Average reward is 0.508464664075984.
Episode length = 200, Average reward is 0.5086770082627616.
Episode length = 247, Average reward is 0.5086995823796614.
Episode length = 180, Average reward is 0.5088369977402251.
Episode length = 196, Average reward is 0.5087282140094699.
Episode length = 228, Average reward is 0.508939288019551.
Episode length = 200, Average reward is 0.5088671677861278.
Episode length = 230, Average reward is 0.5087898032538557.
Episode length = 228, Average reward is 0.5088475370990453.
Episode length = 202, Average reward is 0.5089260180956023.
Episode length = 208, Average reward is 0.5090783247182525.
Episode length = 192, Average reward is 0.5091677134878551.
Episode length = 238, Average reward is 0.5092562813839528.
Episode length = 218, Average reward is 0.509173389045655.
Episode length = 229, Average reward is 0.5091464203857914.
Episode length = 235, Average reward is 0.5093886525811637.
Episode length = 184, Average reward is 0.5092622047199968.
Episode length = 218, Average reward is 0.5093625750277926.
Episode length = 214, Average reward is 0.509240881044307.
Episode length = 228, Average reward is 0.5091099627009819.
Episode length = 218, Average reward is 0.5092103603699394.
Episode length = 243, Average reward is 0.5093745322822517.
Episode length = 226, Average reward is 0.509520809450868.
Episode length = 206, Average reward is 0.5096614635938218.
Episode length = 243, Average reward is 0.5097442218059662.
Episode length = 228, Average reward is 0.5095532751354656.
Episode length = 208, Average reward is 0.5096402512916213.
Episode length = 220, Average reward is 0.509740253680051.
Episode length = 248, Average reward is 0.5096557001436035.
Episode length = 197, Average reward is 0.509595252661243.
Episode length = 194, Average reward is 0.5094533360675547.
Episode length = 248, Average reward is 0.50943024433742.
Episode length = 221, Average reward is 0.509201496723956.
Episode length = 222, Average reward is 0.5090167124903986.
Episode length = 211, Average reward is 0.5089825867124599.
Episode length = 242, Average reward is 0.5090353874995731.
Episode length = 207, Average reward is 0.5090283273552474.
Episode length = 222, Average reward is 0.5090570302469155.
Episode length = 206, Average reward is 0.5090858231283925.
Episode length = 274, Average reward is 0.5087686174532842.
Episode length = 181, Average reward is 0.5088649189854618.
Episode length = 238, Average reward is 0.5090098733955034.
Episode length = 245, Average reward is 0.5090728875038757.
Episode length = 205, Average reward is 0.5091752703725939.
Episode length = 200, Average reward is 0.5091919109184262.
Episode length = 198, Average reward is 0.509319294358116.
Episode length = 208, Average reward is 0.5093342558709533.
Episode length = 225, Average reward is 0.5095209568784458.
Episode length = 237, Average reward is 0.5095446626003803.
Episode length = 219, Average reward is 0.5095242922106377.
Episode length = 261, Average reward is 0.5092679673821892.
Episode length = 186, Average reward is 0.5092631067996177.
Episode length = 213, Average reward is 0.5093323709749525.
Episode length = 238, Average reward is 0.5095178497983385.
Episode length = 237, Average reward is 0.5096808453488081.
Episode length = 244, Average reward is 0.5097452220383009.
Episode length = 199, Average reward is 0.5096006591611517.
Episode length = 214, Average reward is 0.5094816772138129.
Episode length = 211, Average reward is 0.5093126412393849.
Episode length = 220, Average reward is 0.5093001468453118.
Episode length = 220, Average reward is 0.5094135330009023.
Episode length = 205, Average reward is 0.5093843475190681.
Episode length = 235, Average reward is 0.5093937298146245.
Episode length = 219, Average reward is 0.5092631803284878.
Episode length = 201, Average reward is 0.5090624351736117.
Episode length = 233, Average reward is 0.5089450594604605.
